weight_baseline_sched_cv,weight_baseline_seed7_cv,weight_lower_batch_cv,accuracy
0.04,0.09,0.87,0.8124928103071437
0.04,0.1,0.86,0.8116875647072357
0.04,0.11,0.85,0.8115725296215346
0.04,0.12,0.84,0.8118025997929369
0.04,0.13,0.83,0.8124928103071437
0.04,0.14,0.82,0.8127228804785459
0.04,0.15,0.81,0.8128379155642471
0.04,0.16,0.8,0.8130679857356494
0.04,0.17,0.79,0.8124928103071437
0.04,0.18,0.78,0.8132980559070516
0.04,0.19,0.77,0.8135281260784539
0.04,0.2,0.76,0.813643161164155
0.04,0.21,0.75,0.8128379155642471
0.04,0.22,0.74,0.8129529506499482
0.04,0.23,0.73,0.8129529506499482
0.04,0.24,0.72,0.8126078453928448
0.04,0.25,0.71,0.8127228804785459
0.04,0.26,0.7,0.8132980559070516
0.04,0.27,0.69,0.8130679857356494
0.04,0.28,0.68,0.8131830208213505
0.04,0.29,0.67,0.8137581962498562
0.04,0.3,0.66,0.8137581962498562
0.04,0.31,0.65,0.813643161164155
0.04,0.32,0.64,0.8137581962498562
0.04,0.33,0.63,0.8131830208213505
0.04,0.34,0.62,0.8129529506499482
0.04,0.35,0.61,0.8124928103071437
0.04,0.36,0.6,0.8126078453928448
0.04,0.37,0.59,0.8132980559070516
0.04,0.38,0.58,0.8135281260784539
0.04,0.39,0.57,0.813643161164155
0.04,0.4,0.56,0.8130679857356494
0.04,0.41,0.55,0.8126078453928448
0.04,0.42,0.54,0.8123777752214425
0.04,0.43,0.53,0.8123777752214425
0.04,0.44,0.52,0.8123777752214425
0.04,0.45,0.51,0.8123777752214425
0.04,0.46,0.5,0.8126078453928448
0.04,0.47,0.49,0.8124928103071437
0.04,0.48,0.48,0.8128379155642471
0.04,0.49,0.47,0.8122627401357414
0.04,0.5,0.46,0.8121477050500403
0.04,0.51,0.45,0.8121477050500403
0.04,0.52,0.44,0.8126078453928448
0.04,0.53,0.43,0.8123777752214425
0.04,0.54,0.42,0.8122627401357414
0.04,0.55,0.41,0.8122627401357414
0.04,0.56,0.4,0.8120326699643391
0.04,0.57,0.39,0.8118025997929369
0.04,0.58,0.38,0.8121477050500403
0.04,0.59,0.37,0.811917634878638
0.04,0.6,0.36,0.8122627401357414
0.04,0.61,0.35,0.8122627401357414
0.04,0.62,0.34,0.8122627401357414
0.04,0.63,0.33,0.8116875647072357
0.04,0.64,0.32,0.8107672840216266
0.04,0.65,0.31,0.8107672840216266
0.04,0.66,0.3,0.8108823191073278
0.04,0.67,0.29,0.8107672840216266
0.04,0.68,0.28,0.8104221787645232
0.04,0.69,0.27,0.8098470033360174
0.04,0.7,0.26,0.8091567928218106
0.04,0.71,0.25,0.8099620384217187
0.04,0.72,0.24,0.809501898078914
0.04,0.73,0.23,0.8096169331646152
0.04,0.74,0.22,0.8100770735074198
0.04,0.75,0.21,0.8101921085931209
0.04,0.76,0.2,0.8097319682503163
0.04,0.77,0.19,0.8104221787645232
0.04,0.78,0.18,0.8105372138502244
0.04,0.79,0.17,0.8104221787645232
0.04,0.8,0.16,0.8106522489359255
0.04,0.81,0.15,0.8098470033360174
0.04,0.82,0.14,0.8096169331646152
0.04,0.83,0.13,0.8088116875647072
